Date,Time,Away Team,Away Code,Away Score,Home Team,Home Code,Home Score,Game Link,Away Goalie,Away GA,Away DEC,Away SA,Away Saves,Away SV%,Away Shutouts,Away PIM,Away TOI,Home Goalie,Home GA,Home DEC,Home SA,Home Saves,Home SV%,Home Shutouts,Home PIM,Home TOI
2023-11-17,10:00 PM,Florida Panthers,FLA,2,Anaheim Ducks,ANA,1,https://www.hockey-reference.com/boxscores/202311170ANA.html,Anthony Stolarz,1,W,35,34,.971,0,0,59:50,John Gibson,2,L,35,33,.943,0,0,57:51
2023-11-17,2:00 PM,Toronto Maple Leafs,TOR,3,Detroit Red Wings,DET,2,https://www.hockey-reference.com/boxscores/202311170DET.html,Ilya Samsonov,2,W,29,27,.931,0,0,59:56,Alex Lyon,3,L,29,26,.897,0,0,58:28
2023-11-17,8:00 PM,Buffalo Sabres,BUF,2,Winnipeg Jets,WPG,3,https://www.hockey-reference.com/boxscores/202311170WPG.html,Eric Comrie,3,L,18,15,.833,0,0,59:20,Connor Hellebuyck,2,W,28,26,.929,0,0,60:00
2023-11-18,7:00 PM,Montreal Canadiens,MTL,2,Boston Bruins,BOS,5,https://www.hockey-reference.com/boxscores/202311180BOS.html,Jake Allen,5,L,44,39,.886,0,0,60:00,Jeremy Swayman,2,W,22,20,.909,0,0,60:00
2023-11-18,7:00 PM,Pittsburgh Penguins,PIT,2,Carolina Hurricanes,CAR,4,https://www.hockey-reference.com/boxscores/202311180CAR.html,Tristan Jarry,3,L,33,30,.909,0,0,59:24,Antti Raanta,2,W,28,26,.929,0,0,60:00
2023-11-18,7:00 PM,New York Islanders,NYI,5,Calgary Flames,CGY,4,https://www.hockey-reference.com/boxscores/202311180CGY.html,Ilya Sorokin,4,W,39,35,.897,0,0,65:00,Jacob Markström,4,O,33,29,.879,0,0,65:00
2023-11-18,8:00 PM,Colorado Avalanche,COL,6,Dallas Stars,DAL,3,https://www.hockey-reference.com/boxscores/202311180DAL.html,Alexandar Georgiev,3,W,28,25,.893,0,0,60:00,Jake Oettinger,5,L,37,32,.865,0,0,57:24
2023-11-18,10:30 PM,St. Louis Blues,STL,1,Los Angeles Kings,LAK,5,https://www.hockey-reference.com/boxscores/202311180LAK.html,Jordan Binnington,5,L,31,26,.839,0,0,59:52,Cam Talbot,1,W,30,29,.967,0,0,60:00
2023-11-18,7:00 PM,New York Rangers,NYR,5,New Jersey Devils,NJD,3,https://www.hockey-reference.com/boxscores/202311180NJD.html,Igor Shesterkin,3,W,33,30,.909,0,0,60:00,Vítek Vaněček,4,L,34,30,.882,0,0,57:36
2023-11-18,2:00 PM,Chicago Blackhawks,CHI,2,Nashville Predators,NSH,4,https://www.hockey-reference.com/boxscores/202311180NSH.html,Arvid Söderblom,3,L,30,27,.900,0,0,58:08,Kevin Lankinen,2,W,31,29,.935,0,0,60:00
2023-11-18,11:00 AM,Minnesota Wild,MIN,1,Ottawa Senators,OTT,2,https://www.hockey-reference.com/boxscores/202311180OTT.html,Filip Gustavsson,1,O,31,30,.968,0,0,64:41,Anton Forsberg,1,W,25,24,.960,0,0,65:00
2023-11-18,1:00 PM,Vegas Golden Knights,VEG,3,Philadelphia Flyers,PHI,4,https://www.hockey-reference.com/boxscores/202311180PHI.html,Logan Thompson,4,O,38,34,.895,0,0,60:58,Carter Hart,3,W,31,28,.903,0,0,61:00
2023-11-18,4:00 PM,Edmonton Oilers,EDM,4,Tampa Bay Lightning,TBL,6,https://www.hockey-reference.com/boxscores/202311180TBL.html,Stuart Skinner,5,L,23,18,.783,0,0,59:00,Jonas Johansson,4,W,42,38,.905,0,0,60:00
2023-11-18,10:00 PM,Seattle Kraken,SEA,4,Vancouver Canucks,VAN,3,https://www.hockey-reference.com/boxscores/202311180VAN.html,Philipp Grubauer,3,W,24,21,.875,0,0,60:00,Thatcher Demko,4,L,26,22,.846,0,0,57:25
2023-11-18,7:00 PM,Arizona Coyotes,ARI,2,Winnipeg Jets,WPG,5,https://www.hockey-reference.com/boxscores/202311180WPG.html,Karel Vejmelka,4,L,25,21,.840,0,0,58:56,Laurent Brossoit,2,W,18,16,.889,0,0,60:00
2023-11-18,7:30 PM,Columbus Blue Jackets,CBJ,3,Washington Capitals,WSH,4,https://www.hockey-reference.com/boxscores/202311180WSH.html,Elvis Merzļikins,4,L,26,22,.846,0,0,58:47,Charlie Lindgren,3,W,36,33,.917,0,0,60:00
2023-11-19,8:00 PM,St. Louis Blues,STL,3,Anaheim Ducks,ANA,1,https://www.hockey-reference.com/boxscores/202311190ANA.html,Joel Hofer,1,W,31,30,.968,0,0,59:26,John Gibson,3,L,32,29,.906,0,0,57:33
2023-11-19,7:00 PM,Buffalo Sabres,BUF,3,Chicago Blackhawks,CHI,2,https://www.hockey-reference.com/boxscores/202311190CHI.html,Ukko-Pekka Luukkonen,2,W,26,24,.923,0,0,60:00,Petr Mrázek,3,L,20,17,.850,0,0,57:47
2023-11-19,8:00 AM,Toronto Maple Leafs,TOR,4,Minnesota Wild,MIN,3,https://www.hockey-reference.com/boxscores/202311190MIN.html,Joseph Woll,3,W,36,33,.917,0,0,63:09,Marc-André Fleury,4,O,25,21,.840,0,0,63:09
2023-11-19,5:30 PM,Columbus Blue Jackets,CBJ,2,Philadelphia Flyers,PHI,5,https://www.hockey-reference.com/boxscores/202311190PHI.html,Spencer Martin,4,L,26,22,.846,0,0,58:54,Samuel Ersson,2,W,22,20,.909,0,0,60:00
2023-11-19,6:00 PM,Vegas Golden Knights,VEG,0,Pittsburgh Penguins,PIT,3,https://www.hockey-reference.com/boxscores/202311190PIT.html,Adin Hill,2,L,31,29,.935,0,0,59:54,Alex Nedeljkovic,0,W,38,38,1.000,1,0,60:00
2023-11-20,9:00 PM,Los Angeles Kings,LAK,4,Arizona Coyotes,ARI,1,https://www.hockey-reference.com/boxscores/202311200ARI.html,Pheonix Copley,1,W,31,30,.968,0,0,59:42,Connor Ingram,4,L,25,21,.840,0,0,60:00
2023-11-20,8:00 PM,New York Rangers,NYR,3,Dallas Stars,DAL,6,https://www.hockey-reference.com/boxscores/202311200DAL.html,Igor Shesterkin,4,L,34,30,.882,0,0,58:57,Scott Wedgewood,3,W,33,30,.909,0,0,59:48
2023-11-20,7:00 PM,Edmonton Oilers,EDM,3,Florida Panthers,FLA,5,https://www.hockey-reference.com/boxscores/202311200FLA.html,Calvin Pickard,4,L,32,28,.875,0,2,57:38,Sergei Bobrovsky,3,W,29,26,.897,0,0,60:00
2023-11-20,8:00 PM,Colorado Avalanche,COL,3,Nashville Predators,NSH,4,https://www.hockey-reference.com/boxscores/202311200NSH.html,Alexandar Georgiev,4,L,30,26,.867,0,0,59:14,Juuse Saros,3,W,29,26,.897,0,0,58:44
2023-11-20,10:00 PM,Calgary Flames,CGY,4,Seattle Kraken,SEA,3,https://www.hockey-reference.com/boxscores/202311200SEA.html,Daniel Vladař,3,W,31,28,.903,0,0,63:28,Philipp Grubauer,2,,7,5,.714,0,0,20:00
2023-11-20,7:00 PM,Boston Bruins,BOS,4,Tampa Bay Lightning,TBL,5,https://www.hockey-reference.com/boxscores/202311200TBL.html,Jeremy Swayman,5,O,47,42,.894,0,0,61:10,Jonas Johansson,4,W,27,23,.852,0,0,59:04
2023-11-20,10:00 PM,San Jose Sharks,SJS,1,Vancouver Canucks,VAN,3,https://www.hockey-reference.com/boxscores/202311200VAN.html,Mackenzie Blackwood,3,L,37,34,.919,0,0,58:45,Thatcher Demko,1,W,28,27,.964,0,0,60:00
2023-11-22,10:00 PM,Montreal Canadiens,MTL,4,Anaheim Ducks,ANA,3,https://www.hockey-reference.com/boxscores/202311220ANA.html,Sam Montembeault,3,W,33,30,.909,0,0,59:09,John Gibson,4,L,28,24,.857,0,0,58:25
2023-11-22,9:00 PM,St. Louis Blues,STL,6,Arizona Coyotes,ARI,5,https://www.hockey-reference.com/boxscores/202311220ARI.html,Jordan Binnington,5,,13,8,.615,0,0,28:00,Karel Vejmelka,4,,11,7,.636,0,0,24:08
2023-11-22,7:00 PM,Edmonton Oilers,EDM,3,Carolina Hurricanes,CAR,6,https://www.hockey-reference.com/boxscores/202311220CAR.html,Stuart Skinner,4,L,12,8,.667,0,0,14:48,Antti Raanta,1,W,8,7,.875,0,0,20:00
2023-11-22,7:00 PM,Chicago Blackhawks,CHI,3,Columbus Blue Jackets,CBJ,7,https://www.hockey-reference.com/boxscores/202311220CBJ.html,Petr Mrázek,5,L,18,13,.722,0,0,32:16,Elvis Merzļikins,3,W,36,33,.917,0,0,60:00
2023-11-22,10:00 PM,Vancouver Canucks,VAN,2,Colorado Avalanche,COL,5,https://www.hockey-reference.com/boxscores/202311220COL.html,Thatcher Demko,4,L,24,20,.833,0,0,59:25,Alexandar Georgiev,2,W,29,27,.931,0,0,60:00
2023-11-22,9:30 PM,Vegas Golden Knights,VEG,2,Dallas Stars,DAL,1,https://www.hockey-reference.com/boxscores/202311220DAL.html,Adin Hill,1,W,32,31,.969,0,0,61:57,Jake Oettinger,2,O,26,24,.923,0,0,61:57
2023-11-22,7:00 PM,New Jersey Devils,NJD,0,Detroit Red Wings,DET,4,https://www.hockey-reference.com/boxscores/202311220DET.html,Vítek Vaněček,4,L,28,24,.857,0,0,59:31,Alex Lyon,0,W,16,16,1.000,1,0,59:32
2023-11-22,7:00 PM,Boston Bruins,BOS,3,Florida Panthers,FLA,1,https://www.hockey-reference.com/boxscores/202311220FLA.html,Linus Ullmark,1,W,28,27,.964,0,0,60:00,Sergei Bobrovsky,3,L,25,22,.880,0,0,57:21
2023-11-22,9:00 PM,Calgary Flames,CGY,2,Nashville Predators,NSH,4,https://www.hockey-reference.com/boxscores/202311220NSH.html,Jacob Markström,4,L,45,41,.911,0,0,59:49,Juuse Saros,2,W,26,24,.923,0,0,59:50
2023-11-22,7:30 PM,Philadelphia Flyers,PHI,2,New York Islanders,NYI,3,https://www.hockey-reference.com/boxscores/202311220NYI.html,Carter Hart,3,L,25,22,.880,0,0,58:15,Ilya Sorokin,2,W,36,34,.944,0,0,60:00
2023-11-22,7:00 PM,New York Rangers,NYR,1,Pittsburgh Penguins,PIT,0,https://www.hockey-reference.com/boxscores/202311220PIT.html,Jonathan Quick,0,W,32,32,1.000,1,0,60:00,Tristan Jarry,1,L,36,35,.972,0,0,59:30
2023-11-22,10:00 PM,San Jose Sharks,SJS,1,Seattle Kraken,SEA,7,https://www.hockey-reference.com/boxscores/202311220SEA.html,Kaapo Kähkönen,4,L,17,13,.765,0,0,20:00,Joey Daccord,1,W,14,13,.929,0,0,60:00
2023-11-22,7:00 PM,Winnipeg Jets,WPG,3,Tampa Bay Lightning,TBL,2,https://www.hockey-reference.com/boxscores/202311220TBL.html,Connor Hellebuyck,2,W,33,31,.939,0,0,61:39,Jonas Johansson,3,O,32,29,.906,0,0,61:39
2023-11-22,7:00 PM,Buffalo Sabres,BUF,3,Washington Capitals,WSH,4,https://www.hockey-reference.com/boxscores/202311220WSH.html,Devon Levi,4,O,30,26,.867,0,0,64:34,Darcy Kuemper,3,W,27,24,.889,0,0,64:39
2023-11-24,3:30 PM,Los Angeles Kings,LAK,5,Anaheim Ducks,ANA,2,https://www.hockey-reference.com/boxscores/202311240ANA.html,Cam Talbot,2,W,31,29,.935,0,0,60:00,John Gibson,5,L,31,26,.839,0,0,59:31
2023-11-24,1:00 PM,Detroit Red Wings,DET,5,Boston Bruins,BOS,2,https://www.hockey-reference.com/boxscores/202311240BOS.html,Ville Husso,2,W,27,25,.926,0,0,59:45,Jeremy Swayman,4,L,27,23,.852,0,0,57:16
2023-11-24,6:00 PM,Pittsburgh Penguins,PIT,2,Buffalo Sabres,BUF,3,https://www.hockey-reference.com/boxscores/202311240BUF.html,Alex Nedeljkovic,3,L,34,31,.912,0,0,58:45,Ukko-Pekka Luukkonen,2,W,33,31,.939,0,0,59:50
2023-11-24,8:00 PM,Tampa Bay Lightning,TBL,8,Carolina Hurricanes,CAR,2,https://www.hockey-reference.com/boxscores/202311240CAR.html,Andrei Vasilevskiy,2,W,24,22,.917,0,0,60:00,Antti Raanta,8,L,14,6,.429,0,0,59:54
2023-11-24,2:00 PM,Toronto Maple Leafs,TOR,3,Chicago Blackhawks,CHI,4,https://www.hockey-reference.com/boxscores/202311240CHI.html,Ilya Samsonov,4,O,34,30,.882,0,0,64:30,Arvid Söderblom,3,W,37,34,.919,0,0,64:30
2023-11-24,8:30 PM,Calgary Flames,CGY,7,Dallas Stars,DAL,4,https://www.hockey-reference.com/boxscores/202311240DAL.html,Jacob Markström,4,W,28,24,.857,0,0,60:00,Jake Oettinger,6,L,26,20,.769,0,0,58:18
2023-11-24,8:00 PM,Winnipeg Jets,WPG,3,Florida Panthers,FLA,0,https://www.hockey-reference.com/boxscores/202311240FLA.html,Connor Hellebuyck,0,W,33,33,1.000,1,0,59:55,Sergei Bobrovsky,2,L,30,28,.933,0,2,58:52
2023-11-24,8:30 PM,Colorado Avalanche,COL,3,Minnesota Wild,MIN,2,https://www.hockey-reference.com/boxscores/202311240MIN.html,Alexandar Georgiev,2,W,21,19,.905,0,0,60:00,Filip Gustavsson,3,L,25,22,.880,0,0,59:07
2023-11-24,3:00 PM,Columbus Blue Jackets,CBJ,2,New Jersey Devils,NJD,1,https://www.hockey-reference.com/boxscores/202311240NJD.html,Elvis Merzļikins,1,W,38,37,.974,0,0,60:00,Akira Schmid,2,L,28,26,.929,0,0,57:43
2023-11-24,7:30 PM,New York Islanders,NYI,5,Ottawa Senators,OTT,3,https://www.hockey-reference.com/boxscores/202311240OTT.html,Semyon Varlamov,3,W,31,28,.903,0,0,60:00,Anton Forsberg,5,L,26,21,.808,0,0,57:47
2023-11-24,1:00 PM,New York Rangers,NYR,3,Philadelphia Flyers,PHI,1,https://www.hockey-reference.com/boxscores/202311240PHI.html,Igor Shesterkin,1,W,37,36,.973,0,0,59:53,Carter Hart,3,L,19,16,.842,0,0,57:01
2023-11-24,10:00 PM,Vancouver Canucks,VAN,5,Seattle Kraken,SEA,1,https://www.hockey-reference.com/boxscores/202311240SEA.html,Thatcher Demko,1,W,24,23,.958,0,0,60:00,Joey Daccord,5,L,27,22,.815,0,0,60:00
2023-11-24,3:30 PM,Montreal Canadiens,MTL,3,San Jose Sharks,SJS,2,https://www.hockey-reference.com/boxscores/202311240SJS.html,Cayden Primeau,2,W,33,31,.939,0,0,65:00,Mackenzie Blackwood,2,O,24,22,.917,0,0,64:41
2023-11-24,3:00 PM,Nashville Predators,NSH,8,St. Louis Blues,STL,3,https://www.hockey-reference.com/boxscores/202311240STL.html,Kevin Lankinen,3,W,39,36,.923,0,0,60:00,Joel Hofer,4,L,15,11,.733,0,0,22:45
2023-11-24,3:00 PM,Edmonton Oilers,EDM,5,Washington Capitals,WSH,0,https://www.hockey-reference.com/boxscores/202311240WSH.html,Stuart Skinner,0,W,25,25,1.000,1,0,60:00,Charlie Lindgren,5,L,35,30,.857,0,0,59:25
2023-11-25,10:00 PM,Calgary Flames,CGY,1,Colorado Avalanche,COL,3,https://www.hockey-reference.com/boxscores/202311250COL.html,Daniel Vladař,3,L,24,21,.875,0,0,57:59,Ivan Prosvetov,1,W,30,29,.967,0,0,59:21
2023-11-25,4:00 PM,Montreal Canadiens,MTL,0,Los Angeles Kings,LAK,4,https://www.hockey-reference.com/boxscores/202311250LAK.html,Jake Allen,4,L,30,26,.867,0,0,60:00,Pheonix Copley,0,W,18,18,1.000,1,0,59:40
2023-11-25,7:00 PM,Buffalo Sabres,BUF,2,New Jersey Devils,NJD,7,https://www.hockey-reference.com/boxscores/202311250NJD.html,Eric Comrie,4,L,17,13,.765,0,0,20:00,Vítek Vaněček,2,W,12,10,.833,0,0,59:24
2023-11-25,7:30 PM,Philadelphia Flyers,PHI,1,New York Islanders,NYI,0,https://www.hockey-reference.com/boxscores/202311250NYI.html,Samuel Ersson,0,W,25,25,1.000,1,0,65:00,Ilya Sorokin,0,O,40,40,1.000,1,0,64:06
2023-11-25,1:00 PM,Boston Bruins,BOS,4,New York Rangers,NYR,7,https://www.hockey-reference.com/boxscores/202311250NYR.html,Linus Ullmark,7,L,40,33,.825,0,0,60:00,Jonathan Quick,4,W,31,27,.871,0,0,59:28
2023-11-25,7:00 PM,Toronto Maple Leafs,TOR,2,Pittsburgh Penguins,PIT,3,https://www.hockey-reference.com/boxscores/202311250PIT.html,Joseph Woll,3,L,35,32,.914,0,0,57:17,Tristan Jarry,2,W,33,31,.939,0,0,59:53
2023-11-25,10:00 PM,Vancouver Canucks,VAN,3,San Jose Sharks,SJS,4,https://www.hockey-reference.com/boxscores/202311250SJS.html,Casey DeSmith,4,L,22,18,.818,0,0,57:09,Kaapo Kähkönen,3,W,33,30,.909,0,0,59:30
2023-11-25,10:00 PM,Arizona Coyotes,ARI,2,Vegas Golden Knights,VEG,0,https://www.hockey-reference.com/boxscores/202311250VEG.html,Connor Ingram,0,W,34,34,1.000,1,0,60:00,Logan Thompson,1,L,17,16,.941,0,0,58:29
2023-11-26,5:00 PM,Columbus Blue Jackets,CBJ,2,Carolina Hurricanes,CAR,3,https://www.hockey-reference.com/boxscores/202311260CAR.html,Elvis Merzļikins,3,L,43,40,.930,0,0,58:55,Pyotr Kochetkov,2,W,23,21,.913,0,0,60:00
2023-11-26,2:00 PM,St. Louis Blues,STL,4,Chicago Blackhawks,CHI,2,https://www.hockey-reference.com/boxscores/202311260CHI.html,Jordan Binnington,2,W,33,31,.939,0,0,60:00,Arvid Söderblom,4,L,28,24,.857,0,0,59:12
2023-11-26,1:00 PM,Minnesota Wild,MIN,1,Detroit Red Wings,DET,4,https://www.hockey-reference.com/boxscores/202311260DET.html,Filip Gustavsson,3,L,22,19,.864,0,0,58:30,Alex Lyon,1,W,38,37,.974,0,0,60:00
2023-11-26,9:00 PM,Anaheim Ducks,ANA,2,Edmonton Oilers,EDM,8,https://www.hockey-reference.com/boxscores/202311260EDM.html,Lukáš Dostál,6,L,16,10,.625,0,0,27:20,Stuart Skinner,2,W,23,21,.913,0,0,58:39
2023-11-26,8:00 PM,Winnipeg Jets,WPG,2,Nashville Predators,NSH,3,https://www.hockey-reference.com/boxscores/202311260NSH.html,Laurent Brossoit,3,L,26,23,.885,0,0,58:29,Juuse Saros,2,W,34,32,.941,0,0,60:00
2023-11-27,7:00 PM,Boston Bruins,BOS,2,Columbus Blue Jackets,CBJ,5,https://www.hockey-reference.com/boxscores/202311270CBJ.html,Jeremy Swayman,2,,19,17,.895,0,0,26:14,Spencer Martin,2,W,33,31,.939,0,0,60:00
2023-11-27,9:30 PM,Vegas Golden Knights,VEG,1,Calgary Flames,CGY,2,https://www.hockey-reference.com/boxscores/202311270CGY.html,Adin Hill,2,O,34,32,.941,0,0,64:35,Daniel Vladař,1,W,28,27,.964,0,0,64:31
2023-11-27,9:00 PM,Tampa Bay Lightning,TBL,1,Colorado Avalanche,COL,4,https://www.hockey-reference.com/boxscores/202311270COL.html,Andrei Vasilevskiy,3,L,22,19,.864,0,0,58:32,Alexandar Georgiev,1,W,39,38,.974,0,0,59:55
2023-11-27,7:00 PM,Buffalo Sabres,BUF,5,New York Rangers,NYR,1,https://www.hockey-reference.com/boxscores/202311270NYR.html,Ukko-Pekka Luukkonen,1,W,26,25,.962,0,0,60:00,Igor Shesterkin,4,L,38,34,.895,0,0,58:39
2023-11-27,7:00 PM,Florida Panthers,FLA,5,Ottawa Senators,OTT,0,https://www.hockey-reference.com/boxscores/202311270OTT.html,Sergei Bobrovsky,0,W,20,20,1.000,1,0,60:00,Joonas Korpisalo,5,L,37,32,.865,0,0,60:00
2023-11-27,10:30 PM,Washington Capitals,WSH,1,San Jose Sharks,SJS,2,https://www.hockey-reference.com/boxscores/202311270SJS.html,Darcy Kuemper,2,L,23,21,.913,0,0,58:16,Mackenzie Blackwood,1,W,34,33,.971,0,0,60:00
2023-11-28,9:00 PM,Tampa Bay Lightning,TBL,1,Arizona Coyotes,ARI,3,https://www.hockey-reference.com/boxscores/202311280ARI.html,Jonas Johansson,3,L,27,24,.889,0,0,59:09,Connor Ingram,1,W,31,30,.968,0,0,60:00
2023-11-28,8:30 PM,Seattle Kraken,SEA,3,Chicago Blackhawks,CHI,4,https://www.hockey-reference.com/boxscores/202311280CHI.html,Philipp Grubauer,4,L,23,19,.826,0,2,57:14,Petr Mrázek,3,W,36,33,.917,0,0,59:53
2023-11-28,9:00 PM,Vegas Golden Knights,VEG,4,Edmonton Oilers,EDM,5,https://www.hockey-reference.com/boxscores/202311280EDM.html,Logan Thompson,4,O,34,30,.882,0,0,65:00,Stuart Skinner,4,W,27,23,.852,0,0,65:00
2023-11-28,8:00 PM,St. Louis Blues,STL,1,Minnesota Wild,MIN,3,https://www.hockey-reference.com/boxscores/202311280MIN.html,Jordan Binnington,3,L,37,34,.919,0,0,57:24,Filip Gustavsson,1,W,24,23,.958,0,0,59:46
2023-11-28,7:00 PM,New York Islanders,NYI,4,New Jersey Devils,NJD,5,https://www.hockey-reference.com/boxscores/202311280NJD.html,Ilya Sorokin,5,L,33,28,.848,0,0,59:37,Vítek Vaněček,4,,18,14,.778,0,0,33:05
2023-11-28,8:00 PM,Pittsburgh Penguins,PIT,2,Nashville Predators,NSH,3,https://www.hockey-reference.com/boxscores/202311280NSH.html,Tristan Jarry,3,O,25,22,.880,0,0,59:55,Juuse Saros,2,W,31,29,.935,0,0,59:14
2023-11-28,7:30 PM,Carolina Hurricanes,CAR,4,Philadelphia Flyers,PHI,1,https://www.hockey-reference.com/boxscores/202311280PHI.html,Pyotr Kochetkov,1,W,29,28,.966,0,0,60:00,Carter Hart,3,L,35,32,.914,0,0,59:24
2023-11-28,7:00 PM,Florida Panthers,FLA,1,Toronto Maple Leafs,TOR,2,https://www.hockey-reference.com/boxscores/202311280TOR.html,Anthony Stolarz,1,O,32,31,.969,0,0,65:00,Joseph Woll,1,W,39,38,.974,0,0,65:00
2023-11-28,10:00 PM,Anaheim Ducks,ANA,1,Vancouver Canucks,VAN,3,https://www.hockey-reference.com/boxscores/202311280VAN.html,John Gibson,2,L,26,24,.923,0,0,59:36,Thatcher Demko,1,W,31,30,.968,0,0,60:00
2023-11-28,8:00 PM,Dallas Stars,DAL,2,Winnipeg Jets,WPG,0,https://www.hockey-reference.com/boxscores/202311280WPG.html,Jake Oettinger,0,W,27,27,1.000,1,0,59:45,Connor Hellebuyck,2,L,21,19,.905,0,0,58:47
2023-11-29,7:00 PM,Montreal Canadiens,MTL,4,Columbus Blue Jackets,CBJ,2,https://www.hockey-reference.com/boxscores/202311290CBJ.html,Sam Montembeault,2,W,28,26,.929,0,0,60:00,Elvis Merzļikins,3,L,30,27,.900,0,0,58:56
2023-11-29,10:30 PM,Washington Capitals,WSH,2,Los Angeles Kings,LAK,1,https://www.hockey-reference.com/boxscores/202311290LAK.html,Charlie Lindgren,1,W,39,38,.974,0,0,60:00,Cam Talbot,2,L,15,13,.867,0,0,57:17
2023-11-29,7:30 PM,Detroit Red Wings,DET,2,New York Rangers,NYR,3,https://www.hockey-reference.com/boxscores/202311290NYR.html,Ville Husso,3,L,41,38,.927,0,0,58:25,Igor Shesterkin,2,W,27,25,.926,0,0,60:00
2023-11-30,10:00 PM,Washington Capitals,WSH,5,Anaheim Ducks,ANA,4,https://www.hockey-reference.com/boxscores/202311300ANA.html,Darcy Kuemper,4,W,32,28,.875,0,0,60:00,John Gibson,5,L,26,21,.808,0,0,58:21
2023-11-30,9:00 PM,Colorado Avalanche,COL,3,Arizona Coyotes,ARI,4,https://www.hockey-reference.com/boxscores/202311300ARI.html,Alexandar Georgiev,4,O,32,28,.875,0,0,64:39,Connor Ingram,3,W,31,28,.903,0,0,64:15
2023-11-30,7:00 PM,San Jose Sharks,SJS,0,Boston Bruins,BOS,3,https://www.hockey-reference.com/boxscores/202311300BOS.html,Mackenzie Blackwood,3,L,37,34,.919,0,0,60:00,Jeremy Swayman,0,W,26,26,1.000,1,0,59:34
2023-11-30,7:30 PM,New York Islanders,NYI,5,Carolina Hurricanes,CAR,4,https://www.hockey-reference.com/boxscores/202311300CAR.html,Semyon Varlamov,4,W,43,39,.907,0,0,62:46,Pyotr Kochetkov,5,O,16,11,.688,0,0,61:05
2023-11-30,9:00 PM,Dallas Stars,DAL,3,Calgary Flames,CGY,4,https://www.hockey-reference.com/boxscores/202311300CGY.html,Scott Wedgewood,4,O,36,32,.889,0,0,61:01,Jacob Markström,3,W,16,13,.813,0,0,61:01
2023-11-30,7:00 PM,Chicago Blackhawks,CHI,1,Detroit Red Wings,DET,5,https://www.hockey-reference.com/boxscores/202311300DET.html,Petr Mrázek,5,L,29,24,.828,0,0,59:42,Alex Lyon,1,W,35,34,.971,0,0,60:00
2023-11-30,7:00 PM,Florida Panthers,FLA,5,Montreal Canadiens,MTL,1,https://www.hockey-reference.com/boxscores/202311300MTL.html,Sergei Bobrovsky,1,W,22,21,.955,0,0,60:00,Cayden Primeau,5,L,29,24,.828,0,0,60:00
2023-11-30,8:00 PM,Minnesota Wild,MIN,6,Nashville Predators,NSH,1,https://www.hockey-reference.com/boxscores/202311300NSH.html,Filip Gustavsson,1,W,27,26,.963,0,0,59:58,Juuse Saros,4,L,15,11,.733,0,0,21:00
2023-11-30,7:00 PM,New Jersey Devils,NJD,4,Philadelphia Flyers,PHI,3,https://www.hockey-reference.com/boxscores/202311300PHI.html,Akira Schmid,3,W,47,44,.936,0,0,60:19,Carter Hart,4,O,35,31,.886,0,0,59:06
2023-11-30,8:00 PM,Buffalo Sabres,BUF,4,St. Louis Blues,STL,6,https://www.hockey-reference.com/boxscores/202311300STL.html,Ukko-Pekka Luukkonen,6,L,20,14,.700,0,0,55:20,Jordan Binnington,4,W,46,42,.913,0,0,60:00
2023-11-30,7:00 PM,Pittsburgh Penguins,PIT,4,Tampa Bay Lightning,TBL,2,https://www.hockey-reference.com/boxscores/202311300TBL.html,Tristan Jarry,2,W,41,39,.951,0,0,60:00,Andrei Vasilevskiy,3,L,28,25,.893,0,0,58:48
2023-11-30,7:00 PM,Seattle Kraken,SEA,3,Toronto Maple Leafs,TOR,4,https://www.hockey-reference.com/boxscores/202311300TOR.html,Philipp Grubauer,3,O,28,25,.893,0,0,64:44,Joseph Woll,3,W,40,37,.925,0,0,64:48
2023-11-30,10:00 PM,Vegas Golden Knights,VEG,4,Vancouver Canucks,VAN,1,https://www.hockey-reference.com/boxscores/202311300VAN.html,Adin Hill,0,W,16,16,1.000,0,0,40:00,Thatcher Demko,4,L,44,40,.909,0,0,60:00
2023-11-30,8:00 PM,Edmonton Oilers,EDM,3,Winnipeg Jets,WPG,1,https://www.hockey-reference.com/boxscores/202311300WPG.html,Stuart Skinner,1,W,26,25,.962,0,0,59:54,Connor Hellebuyck,2,L,38,36,.947,0,0,58:57
2023-12-01,7:00 PM,Ottawa Senators,OTT,2,Columbus Blue Jackets,CBJ,4,https://www.hockey-reference.com/boxscores/202312010CBJ.html,Joonas Korpisalo,4,L,23,19,.826,0,0,57:51,Elvis Merzļikins,2,W,43,41,.953,0,0,59:57
2023-12-01,7:00 PM,San Jose Sharks,SJS,6,New Jersey Devils,NJD,3,https://www.hockey-reference.com/boxscores/202312010NJD.html,Kaapo Kähkönen,3,W,47,44,.936,0,0,60:00,Akira Schmid,5,L,17,12,.706,0,0,56:16
2023-12-02,10:00 PM,Colorado Avalanche,COL,3,Anaheim Ducks,ANA,4,https://www.hockey-reference.com/boxscores/202312020ANA.html,Ivan Prosvetov,3,O,37,34,.919,0,0,65:00,John Gibson,3,W,37,34,.919,0,0,64:41
2023-12-02,9:00 PM,St. Louis Blues,STL,1,Arizona Coyotes,ARI,4,https://www.hockey-reference.com/boxscores/202312020ARI.html,Joel Hofer,3,L,21,18,.857,0,0,57:17,Connor Ingram,1,W,32,31,.969,0,0,60:00
